                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2189,                 2.1108,                 1.9223,                 1.7685,                0.41137,                0.43599,                0.47332,                  0.321,                0.41559,                0.43138,                0.46029,                0.33194,                 1.3408,                 1.9888,                 1.7776,                 1.9218,               0.004555,               0.004555,               0.004555
                     57,                 1.1724,                 2.1266,                 1.8916,                 1.7347,                0.43205,                0.45179,                0.48229,                0.32797,                0.44196,                0.43834,                0.46544,                0.33183,                 1.3231,                 2.0563,                 1.8166,                 1.9099,               0.004456,               0.004456,               0.004456
                     58,                 1.1572,                 2.0769,                 1.8881,                 1.7166,                 0.4714,                0.39924,                0.45453,                0.31244,                0.36142,                0.43546,                 0.4353,                0.32179,                 1.3417,                 1.9739,                 1.8613,                 1.9321,               0.004357,               0.004357,               0.004357
                     59,                 1.1608,                 2.1005,                 1.8745,                  1.719,                0.40126,                0.47519,                0.48155,                0.32663,                0.39734,                0.47058,                0.46932,                0.33521,                 1.3447,                 2.0057,                 1.8173,                 1.9276,               0.004258,               0.004258,               0.004258
                     60,                 1.1641,                 2.1132,                 1.8855,                 1.7267,                0.41309,                0.50538,                0.44922,                0.30433,                0.39513,                0.48711,                0.43388,                0.31196,                 1.4324,                 2.1922,                 1.9377,                 2.1178,               0.004159,               0.004159,               0.004159
                     61,                 1.1523,                 2.0963,                 1.8885,                 1.7311,                  0.528,                0.48381,                 0.4776,                0.32165,                0.53867,                0.45666,                0.45823,                0.33077,                 1.3841,                 2.0495,                 1.8576,                 2.0139,                0.00406,                0.00406,                0.00406
                     62,                 1.1333,                 2.1536,                 1.8774,                 1.7121,                0.34614,                0.53619,                 0.4635,                0.30724,                0.34764,                0.52346,                0.45292,                0.31209,                 1.3453,                 1.9708,                 1.8306,                 1.9273,               0.003961,               0.003961,               0.003961
                     63,                 1.1533,                  2.109,                 1.8707,                 1.7213,                0.40976,                0.52699,                0.47465,                0.30869,                0.41374,                0.51539,                0.47586,                0.32249,                 1.3693,                  2.027,                 1.8336,                 1.9847,               0.003862,               0.003862,               0.003862
                     64,                 1.1524,                 2.0892,                 1.8831,                 1.7273,                0.42907,                0.53382,                0.48121,                0.31634,                0.45982,                0.51111,                0.46525,                0.31844,                 1.3803,                 1.9827,                 1.7705,                 1.9742,               0.003763,               0.003763,               0.003763
                     65,                 1.1559,                 2.0987,                 1.8593,                 1.7208,                0.41014,                0.51003,                0.48955,                0.33026,                0.41118,                 0.4948,                0.47906,                0.33902,                 1.3578,                 2.0046,                  1.803,                 1.9364,               0.003664,               0.003664,               0.003664
                     66,                 1.1502,                 2.1076,                 1.8265,                 1.7205,                0.44767,                0.47499,                0.49402,                0.33727,                0.44298,                0.46577,                0.48181,                0.33878,                 1.3505,                 2.0049,                 1.7952,                 1.9352,               0.003565,               0.003565,               0.003565
                     67,                  1.142,                 2.0994,                 1.8092,                 1.7142,                0.55828,                0.39563,                0.47304,                0.33286,                0.45492,                0.43716,                0.45999,                0.33993,                 1.3378,                 2.0078,                 1.8185,                 1.9043,               0.003466,               0.003466,               0.003466
                     68,                  1.127,                  2.036,                 1.7841,                  1.694,                0.54169,                0.44544,                 0.4899,                 0.3177,                0.55876,                0.42715,                0.47082,                0.32807,                 1.3532,                 1.9799,                 1.7914,                 1.9391,               0.003367,               0.003367,               0.003367
                     69,                 1.1558,                  2.086,                 1.8238,                 1.7196,                0.44969,                0.47753,                0.49844,                0.33961,                0.45281,                0.47044,                0.49014,                0.34523,                 1.3266,                 1.9765,                 1.7933,                 1.8959,               0.003268,               0.003268,               0.003268
                     70,                 1.1253,                 2.0491,                 1.8075,                 1.6881,                0.41999,                0.48451,                0.48625,                0.32518,                0.50142,                0.44381,                0.47648,                0.34528,                 1.3583,                 1.9843,                 1.8295,                 1.9613,               0.003169,               0.003169,               0.003169
                     71,                 1.1219,                 2.0263,                 1.7779,                 1.6706,                0.43462,                  0.515,                0.51568,                0.34626,                0.42727,                0.50578,                0.48797,                0.35177,                 1.2871,                 1.9511,                 1.7612,                  1.844,                0.00307,                0.00307,                0.00307
                     72,                 1.1479,                  2.039,                 1.8034,                  1.697,                0.44371,                0.51913,                0.49027,                0.34922,                 0.4616,                0.49181,                0.48093,                0.34182,                 1.2687,                 2.0389,                 1.7302,                 1.8689,               0.002971,               0.002971,               0.002971
                     73,                 1.1153,                   2.05,                  1.785,                 1.6752,                0.53107,                0.41474,                0.47728,                0.32527,                0.53317,                0.41029,                0.46832,                0.33893,                 1.3046,                 2.0574,                 1.7616,                  1.904,               0.002872,               0.002872,               0.002872
