                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.1889,                 2.2823,                 1.9087,                  1.493,                0.12726,                0.29622,                0.12998,                0.08567,                0.15098,                0.25941,                0.12929,                0.07868,                 1.9045,                 3.4223,                 3.6176,                 2.2329,               0.002971,               0.002971,               0.002971
                     73,                  1.165,                 2.2825,                 1.8846,                 1.4642,                0.15021,                0.24815,                0.14215,                0.09437,                0.15021,                0.24815,                0.14363,                 0.0902,                 1.7658,                 3.0325,                 3.4543,                 2.1113,               0.002872,               0.002872,               0.002872
                     74,                 1.1792,                 2.2786,                 1.8642,                 1.4676,                0.18909,                0.26616,                0.16385,                0.11217,                0.19056,                0.27092,                0.16372,                0.10598,                 1.6907,                 2.8546,                 3.2965,                 2.0631,               0.002773,               0.002773,               0.002773
                     75,                 1.1651,                 2.2586,                 1.8652,                 1.4645,                 0.1406,                0.24167,                0.13041,                0.09174,                0.13926,                0.23706,                0.12917,                0.08848,                 1.9449,                 3.1949,                 3.6396,                 2.2587,               0.002674,               0.002674,               0.002674
                     76,                  1.135,                 2.2109,                  1.833,                 1.4596,                0.15688,                0.24946,                0.15691,                0.10881,                0.15535,                0.24485,                0.15323,                0.10042,                 1.7766,                  3.095,                 3.5463,                 2.1367,               0.002575,               0.002575,               0.002575
                     77,                 1.1696,                 2.2399,                 1.8685,                 1.4667,                0.11274,                0.45284,                0.15129,                0.10568,                0.12617,                0.27036,                0.14984,                 0.1035,                 1.7812,                 2.9753,                 3.5833,                 2.1286,               0.002476,               0.002476,               0.002476
                     78,                 1.1683,                 2.2603,                 1.8482,                 1.4602,                0.15201,                0.22241,                0.15294,                0.10855,                0.15335,                0.22717,                0.15258,                0.10093,                 1.7624,                 3.1069,                 3.4843,                 2.1141,               0.002377,               0.002377,               0.002377
                     79,                  1.142,                 2.2001,                 1.8255,                 1.4542,                 0.1443,                0.24469,                0.14921,                0.10942,                0.14587,                0.24945,                0.14883,                0.10313,                 1.7575,                 3.3619,                 3.5585,                 2.1367,               0.002278,               0.002278,               0.002278
                     80,                 1.1405,                 2.2167,                 1.8219,                  1.462,                0.20738,                0.29546,                0.15925,                0.11024,                0.20509,                0.29001,                0.16024,                0.09892,                  1.772,                 3.3409,                 3.3057,                 2.1385,               0.002179,               0.002179,               0.002179
                     81,                 1.1309,                 2.2245,                 1.7996,                 1.4408,                0.14271,                0.21562,                0.13068,                 0.0901,                0.14177,                0.20542,                0.12645,                0.08354,                 1.8492,                 3.6532,                 3.7673,                 2.2325,                0.00208,                0.00208,                0.00208
                     82,                 1.1188,                  2.163,                 1.7825,                 1.4255,                0.16329,                 0.2553,                0.16725,                0.11753,                0.16187,                0.25053,                0.16628,                0.10442,                 1.6433,                 3.3708,                 3.3128,                 2.0614,               0.001981,               0.001981,               0.001981
                     83,                 1.1354,                 2.2094,                 1.8302,                 1.4681,                0.08978,                0.59846,                0.13565,                0.10279,                0.08713,                0.56544,                0.13219,                0.08469,                 1.6801,                 3.9586,                 3.8177,                 2.0843,               0.001882,               0.001882,               0.001882
                     84,                 1.1055,                 2.1539,                 1.7894,                 1.4224,                0.16625,                0.24946,                0.16007,                0.11477,                0.16625,                0.24946,                0.16009,                0.10597,                 1.6117,                 3.3155,                 3.5122,                 2.0051,               0.001783,               0.001783,               0.001783
                     85,                 1.1288,                 2.2319,                 1.7849,                 1.4492,                0.16696,                0.27364,                0.16723,                0.11984,                0.16289,                0.26071,                0.16501,                0.10237,                 1.5757,                 3.4107,                 3.3707,                 1.9776,               0.001684,               0.001684,               0.001684
                     86,                 1.1174,                  2.191,                 1.7915,                 1.4411,                0.14695,                0.30053,                0.18227,                0.12497,                0.14336,                0.28096,                0.17918,                0.11935,                 1.6037,                 3.1155,                 3.3187,                 1.9988,               0.001585,               0.001585,               0.001585
                     87,                 1.1282,                 2.1864,                 1.7652,                 1.4334,                0.15563,                0.31368,                0.16138,                0.11073,                0.15524,                0.30333,                0.15601,                  0.099,                 1.6515,                 3.2222,                 3.4121,                 2.0316,               0.001486,               0.001486,               0.001486
                     88,                 1.1139,                  2.172,                 1.7773,                 1.4341,                0.17326,                0.29813,                0.17996,                0.12057,                0.17116,                0.27773,                0.17625,                0.11037,                 1.6516,                 2.9965,                 3.1603,                 2.0351,               0.001387,               0.001387,               0.001387
                     89,                 1.1352,                 2.2163,                 1.7889,                 1.4568,                0.17714,                0.31444,                0.18423,                0.11456,                0.17798,                0.31413,                0.18203,                0.10221,                 1.6288,                 3.0043,                 3.0983,                 2.0178,               0.001288,               0.001288,               0.001288
                     90,                 1.1202,                 2.1992,                 1.7569,                 1.4328,                 0.1687,                0.31558,                0.18061,                 0.1178,                0.18702,                0.28188,                0.17625,                0.10433,                 1.6889,                 2.9871,                 3.0766,                 2.0497,               0.001189,               0.001189,               0.001189
                     91,                 1.1102,                  2.175,                 1.7571,                  1.425,                0.17183,                0.28378,                0.16987,                0.11291,                0.16914,                0.27426,                0.16678,                 0.0986,                 1.6773,                 2.9988,                 3.2123,                 2.0393,                0.00109,                0.00109,                0.00109
                     92,                 1.1147,                 2.1881,                 1.7567,                 1.4393,                0.14594,                0.26836,                 0.1522,                0.10453,                0.14427,                0.26205,                0.15185,                0.09699,                 1.7595,                 2.8974,                 3.5782,                 2.1004,               0.000991,               0.000991,               0.000991
                     93,                 1.1006,                 2.1403,                 1.7445,                 1.4143,                0.29369,                0.27318,                0.15654,                0.10155,                0.29212,                0.26842,                 0.1537,                0.09214,                 1.6956,                 2.8706,                  3.522,                 2.0631,               0.000892,               0.000892,               0.000892
                     94,                  1.085,                 2.1762,                 1.7432,                 1.4138,                0.15945,                0.28815,                0.16161,                0.10714,                0.15732,                0.26842,                0.15886,                0.09904,                 1.6403,                 3.0077,                 3.4993,                 2.0336,               0.000793,               0.000793,               0.000793
                     95,                 1.0937,                 2.1908,                 1.7298,                 1.4165,                0.16218,                0.29438,                0.17582,                0.11771,                0.16695,                0.28798,                0.17104,                0.10809,                 1.5899,                 2.8902,                 3.3227,                 1.9838,               0.000694,               0.000694,               0.000694
                     96,                 1.0971,                 2.1545,                 1.7143,                 1.4135,                0.15853,                  0.291,                0.18788,                 0.1262,                0.18074,                0.28215,                0.18723,                0.11532,                 1.6257,                 2.8472,                 3.2182,                 2.0036,               0.000595,               0.000595,               0.000595
                     97,                 1.1036,                 2.1768,                 1.7554,                 1.4166,                0.15259,                0.27544,                0.16724,                0.11183,                0.15501,                0.27529,                0.16867,                0.10531,                 1.6659,                 2.9278,                 3.4336,                 2.0384,               0.000496,               0.000496,               0.000496
                     98,                 1.1067,                 2.1821,                 1.7376,                 1.4246,                0.16905,                0.25916,                0.16393,                0.11051,                0.16896,                0.25597,                0.16232,                 0.1012,                 1.6524,                 3.0007,                 3.4216,                 2.0341,               0.000397,               0.000397,               0.000397
                     99,                 1.0892,                 2.1458,                 1.7125,                 1.4203,                 0.1567,                0.28731,                0.16315,                0.11088,                0.15651,                0.28388,                 0.1625,                 0.1005,                 1.6245,                 2.8625,                 3.2665,                 1.9894,               0.000298,               0.000298,               0.000298
